Temperature (C)	Pressure (bar)	Quality (l+v)	Internal Energy (l+v, kJ/mol)	Enthalpy (l+v, kJ/mol)	Entropy (l+v, J/mol*K)	Density (l, g/ml)	Volume (l, ml/g)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/bar)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Density (v, g/ml)	Volume (v, ml/g)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/bar)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
10.000	45.022	0.0055689	9.7457	9.9826	48.071	0.86112	1.1613	9.7042	9.9343	47.900	42.651	131.92	440.97	0.078356	83.541	0.097183	0.13516	7.3988	17.145	18.611	78.544	41.842	112.57	205.41	1.2689	15.799	0.025187
11.000	46.149	0.0040977	9.8476	10.090	48.430	0.85360	1.1715	9.8177	10.056	48.307	42.783	135.02	431.15	0.083230	81.894	0.095977	0.13980	7.1528	17.110	18.563	78.246	42.260	117.32	204.62	1.2527	15.953	0.025855
12.000	47.297	0.0024089	9.9500	10.199	48.790	0.84587	1.1822	9.9328	10.179	48.719	42.921	138.43	421.27	0.088459	80.247	0.094770	0.14467	6.9125	17.072	18.511	77.941	42.696	122.59	203.81	1.2362	16.116	0.026575
13.000	48.466	0.00046889	10.053	10.308	49.150	0.83791	1.1934	10.050	10.304	49.137	43.067	142.22	411.31	0.094081	78.599	0.093563	0.14976	6.6774	17.032	18.457	77.627	43.153	128.46	202.98	1.2195	16.287	0.027352
14.000	52.854	undefined	10.109	10.387	49.347	0.83611	1.1960	10.109	10.387	49.347	42.793	140.66	414.26	0.093449	78.239	0.093272	0.83611	1.1960	10.109	10.387	49.347	42.793	140.66	414.26	0.093449	78.239	0.093272
15.000	58.186	undefined	10.152	10.458	49.495	0.83611	1.1960	10.152	10.458	49.495	42.477	137.71	420.24	0.091096	78.249	0.093252	0.83611	1.1960	10.152	10.458	49.495	42.477	137.71	420.24	0.091096	78.249	0.093252
16.000	63.547	undefined	10.194	10.529	49.641	0.83611	1.1960	10.194	10.529	49.641	42.228	134.97	425.63	0.088871	78.258	0.093239	0.83611	1.1960	10.194	10.529	49.641	42.228	134.97	425.63	0.088871	78.258	0.093239
17.000	68.933	undefined	10.236	10.599	49.787	0.83611	1.1960	10.236	10.599	49.787	42.028	132.42	430.57	0.086754	78.269	0.093233	0.83611	1.1960	10.236	10.599	49.787	42.028	132.42	430.57	0.086754	78.269	0.093233
18.000	74.339	undefined	10.278	10.670	49.931	0.83611	1.1960	10.278	10.670	49.931	41.862	130.04	435.18	0.084731	78.280	0.093233	0.83611	1.1960	10.278	10.670	49.931	41.862	130.04	435.18	0.084731	78.280	0.093233
19.000	79.763	undefined	10.320	10.740	50.074	0.83611	1.1960	10.320	10.740	50.074	41.723	127.82	439.52	0.082793	78.291	0.093237	0.83611	1.1960	10.320	10.740	50.074	41.723	127.82	439.52	0.082793	78.291	0.093237
20.000	85.204	undefined	10.362	10.810	50.217	0.83611	1.1960	10.362	10.810	50.217	41.604	125.73	443.66	0.080932	78.303	0.093245	0.83611	1.1960	10.362	10.810	50.217	41.604	125.73	443.66	0.080932	78.303	0.093245
21.000	90.660	undefined	10.403	10.880	50.358	0.83611	1.1960	10.403	10.880	50.358	41.498	123.76	447.62	0.079140	78.316	0.093257	0.83611	1.1960	10.403	10.880	50.358	41.498	123.76	447.62	0.079140	78.316	0.093257
22.000	96.130	undefined	10.445	10.951	50.499	0.83611	1.1960	10.445	10.951	50.499	41.405	121.91	451.43	0.077414	78.329	0.093272	0.83611	1.1960	10.445	10.951	50.499	41.405	121.91	451.43	0.077414	78.329	0.093272
23.000	101.61	undefined	10.486	11.021	50.639	0.83611	1.1960	10.486	11.021	50.639	41.320	120.16	455.12	0.075748	78.342	0.093290	0.83611	1.1960	10.486	11.021	50.639	41.320	120.16	455.12	0.075748	78.342	0.093290
24.000	107.11	undefined	10.527	11.091	50.778	0.83611	1.1960	10.527	11.091	50.778	41.243	118.51	458.70	0.074138	78.356	0.093311	0.83611	1.1960	10.527	11.091	50.778	41.243	118.51	458.70	0.074138	78.356	0.093311
25.000	112.61	undefined	10.569	11.161	50.916	0.83611	1.1960	10.569	11.161	50.916	41.171	116.94	462.18	0.072581	78.370	0.093334	0.83611	1.1960	10.569	11.161	50.916	41.171	116.94	462.18	0.072581	78.370	0.093334
26.000	118.13	undefined	10.610	11.231	51.054	0.83611	1.1960	10.610	11.231	51.054	41.105	115.45	465.58	0.071072	78.385	0.093359	0.83611	1.1960	10.610	11.231	51.054	41.105	115.45	465.58	0.071072	78.385	0.093359
27.000	123.65	undefined	10.651	11.302	51.191	0.83611	1.1960	10.651	11.302	51.191	41.043	114.03	468.89	0.069609	78.401	0.093386	0.83611	1.1960	10.651	11.302	51.191	41.043	114.03	468.89	0.069609	78.401	0.093386
28.000	129.18	undefined	10.692	11.372	51.328	0.83611	1.1960	10.692	11.372	51.328	40.984	112.67	472.14	0.068189	78.416	0.093415	0.83611	1.1960	10.692	11.372	51.328	40.984	112.67	472.14	0.068189	78.416	0.093415
29.000	134.72	undefined	10.733	11.442	51.463	0.83611	1.1960	10.733	11.442	51.463	40.928	111.38	475.32	0.066809	78.433	0.093446	0.83611	1.1960	10.733	11.442	51.463	40.928	111.38	475.32	0.066809	78.433	0.093446
30.000	140.27	undefined	10.774	11.512	51.599	0.83611	1.1960	10.774	11.512	51.599	40.875	110.14	478.43	0.065467	78.450	0.093478	0.83611	1.1960	10.774	11.512	51.599	40.875	110.14	478.43	0.065467	78.450	0.093478
31.000	145.83	undefined	10.814	11.582	51.733	0.83611	1.1960	10.814	11.582	51.733	40.824	108.95	481.50	0.064161	78.467	0.093511	0.83611	1.1960	10.814	11.582	51.733	40.824	108.95	481.50	0.064161	78.467	0.093511
32.000	151.39	undefined	10.855	11.652	51.867	0.83611	1.1960	10.855	11.652	51.867	40.775	107.81	484.51	0.062888	78.484	0.093546	0.83611	1.1960	10.855	11.652	51.867	40.775	107.81	484.51	0.062888	78.484	0.093546
33.000	156.96	undefined	10.896	11.722	52.000	0.83611	1.1960	10.896	11.722	52.000	40.727	106.72	487.47	0.061648	78.502	0.093582	0.83611	1.1960	10.896	11.722	52.000	40.727	106.72	487.47	0.061648	78.502	0.093582
34.000	162.54	undefined	10.937	11.792	52.133	0.83611	1.1960	10.937	11.792	52.133	40.680	105.66	490.39	0.060439	78.521	0.093620	0.83611	1.1960	10.937	11.792	52.133	40.680	105.66	490.39	0.060439	78.521	0.093620
35.000	168.12	undefined	10.977	11.862	52.265	0.83611	1.1960	10.977	11.862	52.265	40.635	104.65	493.26	0.059258	78.540	0.093658	0.83611	1.1960	10.977	11.862	52.265	40.635	104.65	493.26	0.059258	78.540	0.093658
36.000	173.70	undefined	11.018	11.932	52.397	0.83611	1.1960	11.018	11.932	52.397	40.591	103.68	496.10	0.058105	78.559	0.093697	0.83611	1.1960	11.018	11.932	52.397	40.591	103.68	496.10	0.058105	78.559	0.093697
37.000	179.29	undefined	11.059	12.002	52.528	0.83611	1.1960	11.059	12.002	52.528	40.548	102.73	498.90	0.056979	78.579	0.093738	0.83611	1.1960	11.059	12.002	52.528	40.548	102.73	498.90	0.056979	78.579	0.093738
38.000	184.89	undefined	11.099	12.072	52.658	0.83611	1.1960	11.099	12.072	52.658	40.506	101.83	501.67	0.055878	78.599	0.093779	0.83611	1.1960	11.099	12.072	52.658	40.506	101.83	501.67	0.055878	78.599	0.093779
39.000	190.49	undefined	11.140	12.142	52.788	0.83611	1.1960	11.140	12.142	52.788	40.464	100.95	504.40	0.054801	78.620	0.093821	0.83611	1.1960	11.140	12.142	52.788	40.464	100.95	504.40	0.054801	78.620	0.093821
40.000	196.10	undefined	11.180	12.212	52.918	0.83611	1.1960	11.180	12.212	52.918	40.424	100.10	507.10	0.053748	78.641	0.093864	0.83611	1.1960	11.180	12.212	52.918	40.424	100.10	507.10	0.053748	78.641	0.093864
41.000	201.70	undefined	11.220	12.282	53.046	0.83611	1.1960	11.220	12.282	53.046	40.385	99.281	509.76	0.052716	78.662	0.093907	0.83611	1.1960	11.220	12.282	53.046	40.385	99.281	509.76	0.052716	78.662	0.093907
42.000	207.32	undefined	11.261	12.352	53.175	0.83611	1.1960	11.261	12.352	53.175	40.347	98.488	512.40	0.051706	78.684	0.093952	0.83611	1.1960	11.261	12.352	53.175	40.347	98.488	512.40	0.051706	78.684	0.093952
43.000	212.93	undefined	11.301	12.422	53.302	0.83611	1.1960	11.301	12.422	53.302	40.310	97.721	515.00	0.050717	78.706	0.093997	0.83611	1.1960	11.301	12.422	53.302	40.310	97.721	515.00	0.050717	78.706	0.093997
44.000	218.55	undefined	11.341	12.492	53.430	0.83611	1.1960	11.341	12.492	53.430	40.274	96.978	517.57	0.049747	78.729	0.094043	0.83611	1.1960	11.341	12.492	53.430	40.274	96.978	517.57	0.049747	78.729	0.094043
45.000	224.17	undefined	11.382	12.562	53.556	0.83611	1.1960	11.382	12.562	53.556	40.239	96.258	520.12	0.048796	78.752	0.094090	0.83611	1.1960	11.382	12.562	53.556	40.239	96.258	520.12	0.048796	78.752	0.094090
46.000	229.80	undefined	11.422	12.631	53.683	0.83611	1.1960	11.422	12.631	53.683	40.206	95.560	522.63	0.047863	78.775	0.094137	0.83611	1.1960	11.422	12.631	53.683	40.206	95.560	522.63	0.047863	78.775	0.094137
47.000	235.43	undefined	11.462	12.701	53.808	0.83611	1.1960	11.462	12.701	53.808	40.174	94.883	525.11	0.046948	78.799	0.094184	0.83611	1.1960	11.462	12.701	53.808	40.174	94.883	525.11	0.046948	78.799	0.094184
48.000	241.06	undefined	11.502	12.771	53.934	0.83611	1.1960	11.502	12.771	53.934	40.143	94.226	527.57	0.046050	78.823	0.094233	0.83611	1.1960	11.502	12.771	53.934	40.143	94.226	527.57	0.046050	78.823	0.094233
49.000	246.69	undefined	11.542	12.841	54.058	0.83611	1.1960	11.542	12.841	54.058	40.115	93.589	530.00	0.045168	78.848	0.094282	0.83611	1.1960	11.542	12.841	54.058	40.115	93.589	530.00	0.045168	78.848	0.094282
50.000	252.33	undefined	11.582	12.911	54.183	0.83611	1.1960	11.582	12.911	54.183	40.087	92.971	532.39	0.044301	78.873	0.094331	0.83611	1.1960	11.582	12.911	54.183	40.087	92.971	532.39	0.044301	78.873	0.094331
51.000	257.97	undefined	11.623	12.980	54.307	0.83611	1.1960	11.623	12.980	54.307	40.061	92.371	534.77	0.043450	78.898	0.094381	0.83611	1.1960	11.623	12.980	54.307	40.061	92.371	534.77	0.043450	78.898	0.094381
52.000	263.60	undefined	11.663	13.050	54.430	0.83611	1.1960	11.663	13.050	54.430	40.037	91.787	537.11	0.042614	78.923	0.094432	0.83611	1.1960	11.663	13.050	54.430	40.037	91.787	537.11	0.042614	78.923	0.094432
53.000	269.25	undefined	11.703	13.120	54.553	0.83611	1.1960	11.703	13.120	54.553	40.014	91.221	539.43	0.041791	78.949	0.094483	0.83611	1.1960	11.703	13.120	54.553	40.014	91.221	539.43	0.041791	78.949	0.094483
54.000	274.89	undefined	11.743	13.190	54.675	0.83611	1.1960	11.743	13.190	54.675	39.993	90.670	541.72	0.040983	78.976	0.094534	0.83611	1.1960	11.743	13.190	54.675	39.993	90.670	541.72	0.040983	78.976	0.094534
55.000	280.53	undefined	11.783	13.259	54.797	0.83611	1.1960	11.783	13.259	54.797	39.973	90.134	543.99	0.040188	79.002	0.094586	0.83611	1.1960	11.783	13.259	54.797	39.973	90.134	543.99	0.040188	79.002	0.094586
56.000	286.18	undefined	11.823	13.329	54.919	0.83611	1.1960	11.823	13.329	54.919	39.954	89.613	546.23	0.039406	79.029	0.094638	0.83611	1.1960	11.823	13.329	54.919	39.954	89.613	546.23	0.039406	79.029	0.094638
57.000	291.83	undefined	11.863	13.399	55.040	0.83611	1.1960	11.863	13.399	55.040	39.937	89.105	548.45	0.038636	79.057	0.094691	0.83611	1.1960	11.863	13.399	55.040	39.937	89.105	548.45	0.038636	79.057	0.094691
58.000	297.47	undefined	11.902	13.468	55.161	0.83611	1.1960	11.902	13.468	55.161	39.921	88.612	550.65	0.037879	79.084	0.094744	0.83611	1.1960	11.902	13.468	55.161	39.921	88.612	550.65	0.037879	79.084	0.094744
59.000	303.12	undefined	11.942	13.538	55.281	0.83611	1.1960	11.942	13.538	55.281	39.906	88.131	552.83	0.037133	79.112	0.094797	0.83611	1.1960	11.942	13.538	55.281	39.906	88.131	552.83	0.037133	79.112	0.094797
60.000	308.77	undefined	11.982	13.608	55.401	0.83611	1.1960	11.982	13.608	55.401	39.892	87.662	554.98	0.036399	79.141	0.094851	0.83611	1.1960	11.982	13.608	55.401	39.892	87.662	554.98	0.036399	79.141	0.094851
61.000	314.42	undefined	12.022	13.677	55.521	0.83611	1.1960	12.022	13.677	55.521	39.880	87.205	557.12	0.035677	79.169	0.094905	0.83611	1.1960	12.022	13.677	55.521	39.880	87.205	557.12	0.035677	79.169	0.094905
62.000	320.07	undefined	12.062	13.747	55.640	0.83611	1.1960	12.062	13.747	55.640	39.868	86.760	559.24	0.034965	79.198	0.094960	0.83611	1.1960	12.062	13.747	55.640	39.868	86.760	559.24	0.034965	79.198	0.094960
63.000	325.73	undefined	12.102	13.816	55.759	0.83611	1.1960	12.102	13.816	55.759	39.857	86.326	561.34	0.034264	79.228	0.095015	0.83611	1.1960	12.102	13.816	55.759	39.857	86.326	561.34	0.034264	79.228	0.095015
64.000	331.38	undefined	12.142	13.886	55.877	0.83611	1.1960	12.142	13.886	55.877	39.847	85.902	563.42	0.033574	79.257	0.095070	0.83611	1.1960	12.142	13.886	55.877	39.847	85.902	563.42	0.033574	79.257	0.095070
65.000	337.03	undefined	12.182	13.956	55.995	0.83611	1.1960	12.182	13.956	55.995	39.838	85.489	565.48	0.032894	79.287	0.095125	0.83611	1.1960	12.182	13.956	55.995	39.838	85.489	565.48	0.032894	79.287	0.095125
66.000	342.68	undefined	12.221	14.025	56.113	0.83611	1.1960	12.221	14.025	56.113	39.830	85.085	567.53	0.032223	79.317	0.095181	0.83611	1.1960	12.221	14.025	56.113	39.830	85.085	567.53	0.032223	79.317	0.095181
67.000	348.34	undefined	12.261	14.095	56.230	0.83611	1.1960	12.261	14.095	56.230	39.822	84.691	569.56	0.031563	79.348	0.095237	0.83611	1.1960	12.261	14.095	56.230	39.822	84.691	569.56	0.031563	79.348	0.095237
68.000	353.99	undefined	12.301	14.164	56.347	0.83611	1.1960	12.301	14.164	56.347	39.815	84.306	571.57	0.030912	79.379	0.095294	0.83611	1.1960	12.301	14.164	56.347	39.815	84.306	571.57	0.030912	79.379	0.095294
69.000	359.64	undefined	12.341	14.234	56.463	0.83611	1.1960	12.341	14.234	56.463	39.808	83.929	573.58	0.030270	79.410	0.095350	0.83611	1.1960	12.341	14.234	56.463	39.808	83.929	573.58	0.030270	79.410	0.095350
70.000	365.30	undefined	12.381	14.303	56.579	0.83611	1.1960	12.381	14.303	56.579	39.802	83.561	575.56	0.029637	79.441	0.095407	0.83611	1.1960	12.381	14.303	56.579	39.802	83.561	575.56	0.029637	79.441	0.095407
