Temperature (C)	Pressure (bar)	Quality (l+v)	Internal Energy (l+v, kJ/mol)	Enthalpy (l+v, kJ/mol)	Entropy (l+v, J/mol*K)	Density (l, g/ml)	Volume (l, ml/g)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/bar)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Density (v, g/ml)	Volume (v, ml/g)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/bar)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
0.0000	34.851	0.018745	8.8007	8.9924	44.707	0.92743	1.0782	8.6366	8.8020	44.010	41.586	111.89	536.44	0.043249	100.40	0.10915	0.097647	10.241	17.393	18.964	81.211	38.385	82.068	212.04	1.4227	14.561	0.020401
1.0000	35.783	0.018639	8.8999	9.0968	45.070	0.92138	1.0853	8.7390	8.9099	44.388	41.672	113.30	527.11	0.045931	98.663	0.10796	0.10080	9.9202	17.375	18.937	80.964	38.687	84.198	211.46	1.4076	14.666	0.020768
2.0000	36.733	0.018480	8.9995	9.2016	45.432	0.91523	1.0926	8.8421	9.0188	44.768	41.764	114.80	517.73	0.048758	96.939	0.10677	0.10407	9.6085	17.356	18.909	80.712	38.996	86.474	210.87	1.3925	14.774	0.021154
3.0000	37.701	0.018260	9.0994	9.3068	45.795	0.90895	1.1002	8.9462	9.1288	45.150	41.860	116.42	508.29	0.051742	95.230	0.10558	0.10746	9.3056	17.335	18.879	80.458	39.313	88.913	210.26	1.3773	14.886	0.021561
4.0000	38.688	0.017972	9.1997	9.4125	46.157	0.90256	1.1080	9.0512	9.2399	45.534	41.960	118.15	498.81	0.054897	93.533	0.10438	0.11098	9.0110	17.313	18.847	80.199	39.640	91.534	209.62	1.3622	15.001	0.021991
5.0000	39.695	0.017608	9.3004	9.5187	46.520	0.89603	1.1160	9.1572	9.3521	45.921	42.065	120.01	489.28	0.058236	91.847	0.10319	0.11462	8.7244	17.289	18.814	79.936	39.976	94.358	208.97	1.3469	15.121	0.022445
6.0000	40.720	0.017156	9.4014	9.6255	46.883	0.88936	1.1244	9.2642	9.4657	46.310	42.174	122.01	479.71	0.061777	90.171	0.10199	0.11841	8.4454	17.264	18.778	79.669	40.324	97.410	208.30	1.3316	15.246	0.022927
7.0000	41.765	0.016607	9.5029	9.7327	47.245	0.88255	1.1331	9.3723	9.5806	46.703	42.287	124.19	470.10	0.065537	88.504	0.10079	0.12234	8.1737	17.237	18.740	79.396	40.683	100.72	207.61	1.3162	15.375	0.023438
8.0000	42.831	0.015946	9.6049	9.8405	47.609	0.87558	1.1421	9.4816	9.6969	47.098	42.404	126.54	460.44	0.069538	86.844	0.099591	0.12644	7.9089	17.209	18.699	79.118	41.055	104.32	206.90	1.3006	15.510	0.023983
9.0000	43.916	0.015157	9.7072	9.9488	47.972	0.86844	1.1515	9.5922	9.8148	47.497	42.525	129.11	450.73	0.073802	85.190	0.098388	0.13071	7.6508	17.178	18.657	78.834	41.441	108.25	206.17	1.2848	15.651	0.024565
