Temperature (C)	Pressure (bar)	Quality (l+v)	Internal Energy (l+v, kJ/mol)	Enthalpy (l+v, kJ/mol)	Entropy (l+v, J/mol*K)	Density (l, g/ml)	Volume (l, ml/g)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/bar)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Density (v, g/ml)	Volume (v, ml/g)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/bar)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
10.000	45.022	0.014224	9.8101	10.058	48.336	0.86112	1.1613	9.7042	9.9343	47.900	42.651	131.92	440.97	0.078356	83.541	0.097183	0.13516	7.3988	17.145	18.611	78.544	41.842	112.57	205.41	1.2689	15.799	0.025187
11.000	46.149	0.013123	9.9134	10.167	48.700	0.85360	1.1715	9.8177	10.056	48.307	42.783	135.02	431.15	0.083230	81.894	0.095977	0.13980	7.1528	17.110	18.563	78.246	42.260	117.32	204.62	1.2527	15.953	0.025855
12.000	47.297	0.011830	10.017	10.277	49.065	0.84587	1.1822	9.9328	10.179	48.719	42.921	138.43	421.27	0.088459	80.247	0.094770	0.14467	6.9125	17.072	18.511	77.941	42.696	122.59	203.81	1.2362	16.116	0.026575
13.000	48.466	0.010313	10.122	10.388	49.430	0.83791	1.1934	10.050	10.304	49.137	43.067	142.22	411.31	0.094081	78.599	0.093563	0.14976	6.6774	17.032	18.457	77.627	43.153	128.46	202.98	1.2195	16.287	0.027352
14.000	49.658	0.0085353	10.227	10.500	49.797	0.82970	1.2053	10.168	10.432	49.560	43.222	146.46	401.26	0.10014	76.947	0.092356	0.15511	6.4472	16.989	18.398	77.303	43.633	135.04	202.11	1.2023	16.468	0.028195
15.000	50.871	0.0064509	10.332	10.612	50.164	0.82121	1.2177	10.289	10.562	49.990	43.388	151.22	391.10	0.10670	75.288	0.091151	0.16073	6.2216	16.943	18.336	76.969	44.139	142.46	201.21	1.1847	16.660	0.029113
16.000	52.108	0.0040034	10.438	10.725	50.532	0.81241	1.2309	10.412	10.695	50.427	43.568	156.60	380.82	0.11382	73.619	0.089950	0.16666	6.0003	16.893	18.270	76.624	44.674	150.91	200.27	1.1667	16.864	0.030117
17.000	53.368	0.0011223	10.545	10.839	50.901	0.80327	1.2449	10.538	10.831	50.872	43.765	162.74	370.37	0.12157	71.938	0.088755	0.17293	5.7828	16.840	18.198	76.265	45.242	160.60	199.30	1.1480	17.082	0.031222
18.000	56.852	undefined	10.611	10.924	51.128	0.80000	1.2500	10.611	10.924	51.128	43.563	161.90	370.87	0.12230	71.360	0.088283	0.80000	1.2500	10.611	10.924	51.128	43.563	161.90	370.87	0.12230	71.360	0.088283
19.000	61.544	undefined	10.655	10.993	51.277	0.80000	1.2500	10.655	10.993	51.277	43.219	157.40	376.74	0.11919	71.379	0.088208	0.80000	1.2500	10.655	10.993	51.277	43.219	157.40	376.74	0.11919	71.379	0.088208
20.000	66.263	undefined	10.698	11.062	51.424	0.80000	1.2500	10.698	11.062	51.424	42.944	153.30	382.09	0.11625	71.399	0.088148	0.80000	1.2500	10.698	11.062	51.424	42.944	153.30	382.09	0.11625	71.399	0.088148
21.000	71.006	undefined	10.741	11.131	51.570	0.80000	1.2500	10.741	11.131	51.570	42.716	149.55	387.07	0.11348	71.419	0.088099	0.80000	1.2500	10.741	11.131	51.570	42.716	149.55	387.07	0.11348	71.419	0.088099
22.000	75.771	undefined	10.783	11.200	51.714	0.80000	1.2500	10.783	11.200	51.714	42.522	146.10	391.75	0.11083	71.439	0.088059	0.80000	1.2500	10.783	11.200	51.714	42.522	146.10	391.75	0.11083	71.439	0.088059
23.000	80.555	undefined	10.826	11.269	51.858	0.80000	1.2500	10.826	11.269	51.858	42.353	142.92	396.21	0.10832	71.460	0.088028	0.80000	1.2500	10.826	11.269	51.858	42.353	142.92	396.21	0.10832	71.460	0.088028
24.000	85.356	undefined	10.868	11.337	52.000	0.80000	1.2500	10.868	11.337	52.000	42.201	139.97	400.48	0.10591	71.481	0.088004	0.80000	1.2500	10.868	11.337	52.000	42.201	139.97	400.48	0.10591	71.481	0.088004
25.000	90.174	undefined	10.910	11.406	52.142	0.80000	1.2500	10.910	11.406	52.142	42.064	137.22	404.59	0.10361	71.503	0.087987	0.80000	1.2500	10.910	11.406	52.142	42.064	137.22	404.59	0.10361	71.503	0.087987
26.000	95.008	undefined	10.952	11.475	52.283	0.80000	1.2500	10.952	11.475	52.283	41.937	134.66	408.55	0.10140	71.525	0.087975	0.80000	1.2500	10.952	11.475	52.283	41.937	134.66	408.55	0.10140	71.525	0.087975
27.000	99.855	undefined	10.994	11.543	52.422	0.80000	1.2500	10.994	11.543	52.422	41.820	132.26	412.39	0.099278	71.547	0.087969	0.80000	1.2500	10.994	11.543	52.422	41.820	132.26	412.39	0.099278	71.547	0.087969
28.000	104.72	undefined	11.036	11.612	52.561	0.80000	1.2500	11.036	11.612	52.561	41.711	130.01	416.11	0.097238	71.570	0.087966	0.80000	1.2500	11.036	11.612	52.561	41.711	130.01	416.11	0.097238	71.570	0.087966
29.000	109.59	undefined	11.077	11.680	52.699	0.80000	1.2500	11.077	11.680	52.699	41.609	127.89	419.72	0.095273	71.593	0.087968	0.80000	1.2500	11.077	11.680	52.699	41.609	127.89	419.72	0.095273	71.593	0.087968
30.000	114.47	undefined	11.119	11.749	52.837	0.80000	1.2500	11.119	11.749	52.837	41.513	125.89	423.23	0.093376	71.616	0.087973	0.80000	1.2500	11.119	11.749	52.837	41.513	125.89	423.23	0.093376	71.616	0.087973
31.000	119.37	undefined	11.160	11.817	52.973	0.80000	1.2500	11.160	11.817	52.973	41.423	123.99	426.65	0.091543	71.640	0.087982	0.80000	1.2500	11.160	11.817	52.973	41.423	123.99	426.65	0.091543	71.640	0.087982
32.000	124.27	undefined	11.202	11.885	53.109	0.80000	1.2500	11.202	11.885	53.109	41.337	122.19	429.98	0.089768	71.664	0.087993	0.80000	1.2500	11.202	11.885	53.109	41.337	122.19	429.98	0.089768	71.664	0.087993
33.000	129.19	undefined	11.243	11.954	53.244	0.80000	1.2500	11.243	11.954	53.244	41.257	120.49	433.24	0.088048	71.689	0.088008	0.80000	1.2500	11.243	11.954	53.244	41.257	120.49	433.24	0.088048	71.689	0.088008
34.000	134.11	undefined	11.284	12.022	53.379	0.80000	1.2500	11.284	12.022	53.379	41.180	118.86	436.43	0.086379	71.714	0.088024	0.80000	1.2500	11.284	12.022	53.379	41.180	118.86	436.43	0.086379	71.714	0.088024
35.000	139.04	undefined	11.325	12.090	53.512	0.80000	1.2500	11.325	12.090	53.512	41.107	117.31	439.55	0.084757	71.739	0.088044	0.80000	1.2500	11.325	12.090	53.512	41.107	117.31	439.55	0.084757	71.739	0.088044
36.000	143.98	undefined	11.366	12.159	53.645	0.80000	1.2500	11.366	12.159	53.645	41.038	115.83	442.61	0.083180	71.764	0.088065	0.80000	1.2500	11.366	12.159	53.645	41.038	115.83	442.61	0.083180	71.764	0.088065
37.000	148.92	undefined	11.407	12.227	53.778	0.80000	1.2500	11.407	12.227	53.778	40.971	114.42	445.61	0.081645	71.790	0.088088	0.80000	1.2500	11.407	12.227	53.778	40.971	114.42	445.61	0.081645	71.790	0.088088
38.000	153.87	undefined	11.448	12.295	53.910	0.80000	1.2500	11.448	12.295	53.910	40.908	113.07	448.56	0.080150	71.816	0.088113	0.80000	1.2500	11.448	12.295	53.910	40.908	113.07	448.56	0.080150	71.816	0.088113
39.000	158.83	undefined	11.489	12.363	54.041	0.80000	1.2500	11.489	12.363	54.041	40.846	111.78	451.47	0.078693	71.843	0.088140	0.80000	1.2500	11.489	12.363	54.041	40.846	111.78	451.47	0.078693	71.843	0.088140
40.000	163.79	undefined	11.530	12.431	54.171	0.80000	1.2500	11.530	12.431	54.171	40.788	110.54	454.33	0.077272	71.870	0.088168	0.80000	1.2500	11.530	12.431	54.171	40.788	110.54	454.33	0.077272	71.870	0.088168
41.000	168.76	undefined	11.571	12.499	54.301	0.80000	1.2500	11.571	12.499	54.301	40.731	109.35	457.15	0.075885	71.897	0.088198	0.80000	1.2500	11.571	12.499	54.301	40.731	109.35	457.15	0.075885	71.897	0.088198
42.000	173.74	undefined	11.612	12.567	54.431	0.80000	1.2500	11.612	12.567	54.431	40.676	108.20	459.93	0.074530	71.924	0.088229	0.80000	1.2500	11.612	12.567	54.431	40.676	108.20	459.93	0.074530	71.924	0.088229
43.000	178.72	undefined	11.652	12.635	54.559	0.80000	1.2500	11.652	12.635	54.559	40.623	107.11	462.68	0.073208	71.952	0.088262	0.80000	1.2500	11.652	12.635	54.559	40.623	107.11	462.68	0.073208	71.952	0.088262
44.000	183.71	undefined	11.693	12.703	54.688	0.80000	1.2500	11.693	12.703	54.688	40.572	106.05	465.38	0.071915	71.980	0.088296	0.80000	1.2500	11.693	12.703	54.688	40.572	106.05	465.38	0.071915	71.980	0.088296
45.000	188.70	undefined	11.733	12.771	54.815	0.80000	1.2500	11.733	12.771	54.815	40.523	105.03	468.06	0.070651	72.008	0.088331	0.80000	1.2500	11.733	12.771	54.815	40.523	105.03	468.06	0.070651	72.008	0.088331
46.000	193.69	undefined	11.774	12.839	54.942	0.80000	1.2500	11.774	12.839	54.942	40.476	104.06	470.70	0.069415	72.037	0.088367	0.80000	1.2500	11.774	12.839	54.942	40.476	104.06	470.70	0.069415	72.037	0.088367
47.000	198.69	undefined	11.814	12.907	55.069	0.80000	1.2500	11.814	12.907	55.069	40.431	103.11	473.30	0.068205	72.066	0.088405	0.80000	1.2500	11.814	12.907	55.069	40.431	103.11	473.30	0.068205	72.066	0.088405
48.000	203.69	undefined	11.855	12.975	55.195	0.80000	1.2500	11.855	12.975	55.195	40.387	102.20	475.88	0.067021	72.095	0.088443	0.80000	1.2500	11.855	12.975	55.195	40.387	102.20	475.88	0.067021	72.095	0.088443
49.000	208.70	undefined	11.895	13.043	55.320	0.80000	1.2500	11.895	13.043	55.320	40.345	101.32	478.42	0.065862	72.125	0.088482	0.80000	1.2500	11.895	13.043	55.320	40.345	101.32	478.42	0.065862	72.125	0.088482
50.000	213.71	undefined	11.935	13.111	55.445	0.80000	1.2500	11.935	13.111	55.445	40.305	100.48	480.94	0.064726	72.155	0.088523	0.80000	1.2500	11.935	13.111	55.445	40.305	100.48	480.94	0.064726	72.155	0.088523
51.000	218.72	undefined	11.976	13.179	55.570	0.80000	1.2500	11.976	13.179	55.570	40.267	99.658	483.42	0.063614	72.185	0.088564	0.80000	1.2500	11.976	13.179	55.570	40.267	99.658	483.42	0.063614	72.185	0.088564
52.000	223.74	undefined	12.016	13.247	55.694	0.80000	1.2500	12.016	13.247	55.694	40.230	98.866	485.87	0.062523	72.216	0.088606	0.80000	1.2500	12.016	13.247	55.694	40.230	98.866	485.87	0.062523	72.216	0.088606
53.000	228.76	undefined	12.056	13.315	55.817	0.80000	1.2500	12.056	13.315	55.817	40.195	98.100	488.29	0.061453	72.246	0.088648	0.80000	1.2500	12.056	13.315	55.817	40.195	98.100	488.29	0.061453	72.246	0.088648
54.000	233.79	undefined	12.096	13.382	55.940	0.80000	1.2500	12.096	13.382	55.940	40.162	97.359	490.68	0.060404	72.277	0.088692	0.80000	1.2500	12.096	13.382	55.940	40.162	97.359	490.68	0.060404	72.277	0.088692
55.000	238.81	undefined	12.137	13.450	56.063	0.80000	1.2500	12.137	13.450	56.063	40.131	96.641	493.05	0.059374	72.309	0.088736	0.80000	1.2500	12.137	13.450	56.063	40.131	96.641	493.05	0.059374	72.309	0.088736
56.000	243.84	undefined	12.177	13.518	56.185	0.80000	1.2500	12.177	13.518	56.185	40.102	95.945	495.38	0.058363	72.340	0.088781	0.80000	1.2500	12.177	13.518	56.185	40.102	95.945	495.38	0.058363	72.340	0.088781
57.000	248.87	undefined	12.217	13.586	56.307	0.80000	1.2500	12.217	13.586	56.307	40.074	95.270	497.69	0.057371	72.372	0.088827	0.80000	1.2500	12.217	13.586	56.307	40.074	95.270	497.69	0.057371	72.372	0.088827
58.000	253.91	undefined	12.257	13.654	56.428	0.80000	1.2500	12.257	13.654	56.428	40.048	94.615	499.97	0.056396	72.404	0.088873	0.80000	1.2500	12.257	13.654	56.428	40.048	94.615	499.97	0.056396	72.404	0.088873
59.000	258.94	undefined	12.297	13.721	56.548	0.80000	1.2500	12.297	13.721	56.548	40.023	93.980	502.22	0.055438	72.437	0.088920	0.80000	1.2500	12.297	13.721	56.548	40.023	93.980	502.22	0.055438	72.437	0.088920
60.000	263.98	undefined	12.337	13.789	56.669	0.80000	1.2500	12.337	13.789	56.669	40.000	93.363	504.45	0.054497	72.469	0.088967	0.80000	1.2500	12.337	13.789	56.669	40.000	93.363	504.45	0.054497	72.469	0.088967
61.000	269.02	undefined	12.377	13.857	56.789	0.80000	1.2500	12.377	13.857	56.789	39.978	92.763	506.66	0.053571	72.502	0.089015	0.80000	1.2500	12.377	13.857	56.789	39.978	92.763	506.66	0.053571	72.502	0.089015
62.000	274.06	undefined	12.417	13.924	56.908	0.80000	1.2500	12.417	13.924	56.908	39.958	92.181	508.84	0.052661	72.535	0.089064	0.80000	1.2500	12.417	13.924	56.908	39.958	92.181	508.84	0.052661	72.535	0.089064
63.000	279.11	undefined	12.457	13.992	57.027	0.80000	1.2500	12.457	13.992	57.027	39.939	91.614	511.00	0.051766	72.569	0.089113	0.80000	1.2500	12.457	13.992	57.027	39.939	91.614	511.00	0.051766	72.569	0.089113
64.000	284.15	undefined	12.497	14.060	57.146	0.80000	1.2500	12.497	14.060	57.146	39.921	91.062	513.13	0.050886	72.602	0.089163	0.80000	1.2500	12.497	14.060	57.146	39.921	91.062	513.13	0.050886	72.602	0.089163
65.000	289.20	undefined	12.537	14.128	57.264	0.80000	1.2500	12.537	14.128	57.264	39.904	90.526	515.25	0.050020	72.636	0.089213	0.80000	1.2500	12.537	14.128	57.264	39.904	90.526	515.25	0.050020	72.636	0.089213
66.000	294.25	undefined	12.576	14.195	57.382	0.80000	1.2500	12.576	14.195	57.382	39.888	90.003	517.34	0.049167	72.670	0.089263	0.80000	1.2500	12.576	14.195	57.382	39.888	90.003	517.34	0.049167	72.670	0.089263
67.000	299.30	undefined	12.616	14.263	57.499	0.80000	1.2500	12.616	14.263	57.499	39.873	89.494	519.42	0.048328	72.705	0.089314	0.80000	1.2500	12.616	14.263	57.499	39.873	89.494	519.42	0.048328	72.705	0.089314
68.000	304.35	undefined	12.656	14.330	57.616	0.80000	1.2500	12.656	14.330	57.616	39.860	88.998	521.47	0.047502	72.739	0.089365	0.80000	1.2500	12.656	14.330	57.616	39.860	88.998	521.47	0.047502	72.739	0.089365
69.000	309.40	undefined	12.696	14.398	57.733	0.80000	1.2500	12.696	14.398	57.733	39.847	88.514	523.51	0.046688	72.774	0.089417	0.80000	1.2500	12.696	14.398	57.733	39.847	88.514	523.51	0.046688	72.774	0.089417
70.000	314.45	undefined	12.736	14.466	57.849	0.80000	1.2500	12.736	14.466	57.849	39.835	88.042	525.53	0.045887	72.809	0.089469	0.80000	1.2500	12.736	14.466	57.849	39.835	88.042	525.53	0.045887	72.809	0.089469
