Temperature (C)	Pressure (bar)	Quality (l+v)	Internal Energy (l+v, kJ/mol)	Enthalpy (l+v, kJ/mol)	Entropy (l+v, J/mol*K)	Density (l, g/ml)	Volume (l, ml/g)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/bar)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Density (v, g/ml)	Volume (v, ml/g)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/bar)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
0.0000	34.851	0.038234	8.9714	9.1905	45.432	0.92743	1.0782	8.6366	8.8020	44.010	41.586	111.89	536.44	0.043249	100.40	0.10915	0.097647	10.241	17.393	18.964	81.211	38.385	82.068	212.04	1.4227	14.561	0.020401
1.0000	35.783	0.038852	9.0745	9.2994	45.809	0.92138	1.0853	8.7390	8.9099	44.388	41.672	113.30	527.11	0.045931	98.663	0.10796	0.10080	9.9202	17.375	18.937	80.964	38.687	84.198	211.46	1.4076	14.666	0.020768
2.0000	36.733	0.039449	9.1780	9.4089	46.186	0.91523	1.0926	8.8421	9.0188	44.768	41.764	114.80	517.73	0.048758	96.939	0.10677	0.10407	9.6085	17.356	18.909	80.712	38.996	86.474	210.87	1.3925	14.774	0.021154
3.0000	37.701	0.040023	9.2820	9.5190	46.563	0.90895	1.1002	8.9462	9.1288	45.150	41.860	116.42	508.29	0.051742	95.230	0.10558	0.10746	9.3056	17.335	18.879	80.458	39.313	88.913	210.26	1.3773	14.886	0.021561
4.0000	38.688	0.040567	9.3864	9.6296	46.940	0.90256	1.1080	9.0512	9.2399	45.534	41.960	118.15	498.81	0.054897	93.533	0.10438	0.11098	9.0110	17.313	18.847	80.199	39.640	91.534	209.62	1.3622	15.001	0.021991
5.0000	39.695	0.041078	9.4912	9.7408	47.318	0.89603	1.1160	9.1572	9.3521	45.921	42.065	120.01	489.28	0.058236	91.847	0.10319	0.11462	8.7244	17.289	18.814	79.936	39.976	94.358	208.97	1.3469	15.121	0.022445
6.0000	40.720	0.041548	9.5966	9.8526	47.696	0.88936	1.1244	9.2642	9.4657	46.310	42.174	122.01	479.71	0.061777	90.171	0.10199	0.11841	8.4454	17.264	18.778	79.669	40.324	97.410	208.30	1.3316	15.246	0.022927
7.0000	41.765	0.041970	9.7024	9.9650	48.075	0.88255	1.1331	9.3723	9.5806	46.703	42.287	124.19	470.10	0.065537	88.504	0.10079	0.12234	8.1737	17.237	18.740	79.396	40.683	100.72	207.61	1.3162	15.375	0.023438
8.0000	42.831	0.042335	9.8088	10.078	48.454	0.87558	1.1421	9.4816	9.6969	47.098	42.404	126.54	460.44	0.069538	86.844	0.099591	0.12644	7.9089	17.209	18.699	79.118	41.055	104.32	206.90	1.3006	15.510	0.023983
9.0000	43.916	0.042633	9.9156	10.192	48.833	0.86844	1.1515	9.5922	9.8148	47.497	42.525	129.11	450.73	0.073802	85.190	0.098388	0.13071	7.6508	17.178	18.657	78.834	41.441	108.25	206.17	1.2848	15.651	0.024565
10.000	45.022	0.042852	10.023	10.306	49.213	0.86112	1.1613	9.7042	9.9343	47.900	42.651	131.92	440.97	0.078356	83.541	0.097183	0.13516	7.3988	17.145	18.611	78.544	41.842	112.57	205.41	1.2689	15.799	0.025187
11.000	46.149	0.042978	10.131	10.421	49.594	0.85360	1.1715	9.8177	10.056	48.307	42.783	135.02	431.15	0.083230	81.894	0.095977	0.13980	7.1528	17.110	18.563	78.246	42.260	117.32	204.62	1.2527	15.953	0.025855
12.000	47.297	0.042993	10.240	10.537	49.976	0.84587	1.1822	9.9328	10.179	48.719	42.921	138.43	421.27	0.088459	80.247	0.094770	0.14467	6.9125	17.072	18.511	77.941	42.696	122.59	203.81	1.2362	16.116	0.026575
13.000	48.466	0.042876	10.349	10.654	50.358	0.83791	1.1934	10.050	10.304	49.137	43.067	142.22	411.31	0.094081	78.599	0.093563	0.14976	6.6774	17.032	18.457	77.627	43.153	128.46	202.98	1.2195	16.287	0.027352
14.000	49.658	0.042601	10.459	10.771	50.742	0.82970	1.2053	10.168	10.432	49.560	43.222	146.46	401.26	0.10014	76.947	0.092356	0.15511	6.4472	16.989	18.398	77.303	43.633	135.04	202.11	1.2023	16.468	0.028195
15.000	50.871	0.042137	10.570	10.889	51.126	0.82121	1.2177	10.289	10.562	49.990	43.388	151.22	391.10	0.10670	75.288	0.091151	0.16073	6.2216	16.943	18.336	76.969	44.139	142.46	201.21	1.1847	16.660	0.029113
16.000	52.108	0.041444	10.681	11.009	51.513	0.81241	1.2309	10.412	10.695	50.427	43.568	156.60	380.82	0.11382	73.619	0.089950	0.16666	6.0003	16.893	18.270	76.624	44.674	150.91	200.27	1.1667	16.864	0.030117
