Temperature (C)	Pressure (bar)	Quality (l+v)	Internal Energy (l+v, kJ/mol)	Enthalpy (l+v, kJ/mol)	Entropy (l+v, J/mol*K)	Density (l, g/ml)	Volume (l, ml/g)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/bar)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Density (v, g/ml)	Volume (v, ml/g)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/bar)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
17.000	53.368	0.040473	10.793	11.129	51.900	0.80327	1.2449	10.538	10.831	50.872	43.765	162.74	370.37	0.12157	71.938	0.088755	0.17293	5.7828	16.840	18.198	76.265	45.242	160.60	199.30	1.1480	17.082	0.031222
18.000	54.651	0.039160	10.907	11.250	52.290	0.79376	1.2598	10.667	10.970	51.328	43.983	169.79	359.72	0.13006	70.240	0.087572	0.17957	5.5688	16.782	18.122	75.891	45.848	171.84	198.28	1.1287	17.316	0.032443
19.000	55.958	0.037423	11.021	11.372	52.681	0.78381	1.2758	10.799	11.113	51.794	44.229	177.99	348.84	0.13940	68.520	0.086405	0.18664	5.3578	16.720	18.039	75.501	46.499	185.02	197.22	1.1086	17.568	0.033802
20.000	57.291	0.035152	11.136	11.496	53.074	0.77339	1.2930	10.935	11.261	52.272	44.512	187.64	337.65	0.14973	66.773	0.085265	0.19420	5.1493	16.652	17.950	75.091	47.202	200.68	196.09	1.0877	17.842	0.035327
21.000	58.648	0.032202	11.252	11.621	53.470	0.76240	1.3116	11.075	11.413	52.764	44.843	199.19	326.09	0.16126	64.993	0.084164	0.20232	4.9427	16.578	17.853	74.658	47.967	219.59	194.91	1.0656	18.140	0.037053
22.000	60.031	0.028367	11.369	11.747	53.868	0.75077	1.3320	11.219	11.571	53.274	45.239	213.29	314.08	0.17423	63.170	0.083124	0.21108	4.7375	16.496	17.748	74.200	48.808	242.87	193.64	1.0423	18.469	0.039029
23.000	61.440	0.023354	11.488	11.874	54.269	0.73836	1.3543	11.370	11.736	53.804	45.724	230.96	301.51	0.18897	61.294	0.082177	0.22062	4.5326	16.406	17.631	73.710	49.744	272.19	192.27	1.0176	18.835	0.041319
24.000	62.877	0.016723	11.608	12.003	54.674	0.72502	1.3793	11.528	11.910	54.359	46.330	253.82	288.28	0.20591	59.349	0.081375	0.23110	4.3272	16.305	17.503	73.182	50.799	310.21	190.78	0.99099	19.247	0.044022
25.000	64.342	0.0077855	11.730	12.134	55.083	0.71050	1.4075	11.695	12.093	54.945	47.108	284.63	274.26	0.22565	57.314	0.080798	0.24273	4.1198	16.192	17.359	72.606	52.013	361.42	189.12	0.96220	19.716	0.047280
26.000	66.419	undefined	11.828	12.245	55.412	0.70000	1.4286	11.828	12.245	55.412	47.453	302.75	267.17	0.23786	55.903	0.080306	0.70000	1.4286	11.828	12.245	55.412	47.453	302.75	267.17	0.23786	55.903	0.080306
27.000	69.699	undefined	11.875	12.313	55.569	0.70000	1.4286	11.875	12.313	55.569	46.756	279.74	274.31	0.23015	55.938	0.079564	0.70000	1.4286	11.875	12.313	55.569	46.756	279.74	274.31	0.23015	55.938	0.079564
28.000	73.010	undefined	11.921	12.380	55.724	0.70000	1.4286	11.921	12.380	55.724	46.260	261.38	280.33	0.22340	55.974	0.078976	0.70000	1.4286	11.921	12.380	55.724	46.260	261.38	280.33	0.22340	55.974	0.078976
29.000	76.349	undefined	11.968	12.448	55.876	0.70000	1.4286	11.968	12.448	55.876	45.864	246.22	285.76	0.21728	56.010	0.078493	0.70000	1.4286	11.968	12.448	55.876	45.864	246.22	285.76	0.21728	56.010	0.078493
30.000	79.712	undefined	12.013	12.514	56.027	0.70000	1.4286	12.013	12.514	56.027	45.513	233.40	290.88	0.21164	56.046	0.078088	0.70000	1.4286	12.013	12.514	56.027	45.513	233.40	290.88	0.21164	56.046	0.078088
31.000	83.097	undefined	12.059	12.581	56.177	0.70000	1.4286	12.059	12.581	56.177	45.180	222.40	295.82	0.20638	56.083	0.077744	0.70000	1.4286	12.059	12.581	56.177	45.180	222.40	295.82	0.20638	56.083	0.077744
32.000	86.504	undefined	12.104	12.647	56.324	0.70000	1.4286	12.104	12.647	56.324	44.854	212.83	300.62	0.20147	56.119	0.077449	0.70000	1.4286	12.104	12.647	56.324	44.854	212.83	300.62	0.20147	56.119	0.077449
33.000	89.930	undefined	12.148	12.714	56.471	0.70000	1.4286	12.148	12.714	56.471	44.535	204.40	305.28	0.19687	56.156	0.077193	0.70000	1.4286	12.148	12.714	56.471	44.535	204.40	305.28	0.19687	56.156	0.077193
34.000	93.375	undefined	12.193	12.780	56.615	0.70000	1.4286	12.193	12.780	56.615	44.225	196.91	309.80	0.19256	56.193	0.076970	0.70000	1.4286	12.193	12.780	56.615	44.225	196.91	309.80	0.19256	56.193	0.076970
35.000	96.838	undefined	12.237	12.846	56.759	0.70000	1.4286	12.237	12.846	56.759	43.927	190.18	314.16	0.18851	56.229	0.076776	0.70000	1.4286	12.237	12.846	56.759	43.927	190.18	314.16	0.18851	56.229	0.076776
36.000	100.32	undefined	12.281	12.911	56.900	0.70000	1.4286	12.281	12.911	56.900	43.646	184.09	318.35	0.18468	56.267	0.076606	0.70000	1.4286	12.281	12.911	56.900	43.646	184.09	318.35	0.18468	56.267	0.076606
37.000	103.81	undefined	12.324	12.977	57.041	0.70000	1.4286	12.324	12.977	57.041	43.383	178.54	322.37	0.18106	56.304	0.076457	0.70000	1.4286	12.324	12.977	57.041	43.383	178.54	322.37	0.18106	56.304	0.076457
38.000	107.32	undefined	12.367	13.042	57.180	0.70000	1.4286	12.367	13.042	57.180	43.141	173.46	326.21	0.17761	56.341	0.076326	0.70000	1.4286	12.367	13.042	57.180	43.141	173.46	326.21	0.17761	56.341	0.076326
39.000	110.84	undefined	12.410	13.107	57.318	0.70000	1.4286	12.410	13.107	57.318	42.920	168.77	329.88	0.17432	56.379	0.076211	0.70000	1.4286	12.410	13.107	57.318	42.920	168.77	329.88	0.17432	56.379	0.076211
40.000	114.37	undefined	12.453	13.172	57.455	0.70000	1.4286	12.453	13.172	57.455	42.720	164.44	333.39	0.17116	56.417	0.076109	0.70000	1.4286	12.453	13.172	57.455	42.720	164.44	333.39	0.17116	56.417	0.076109
41.000	117.90	undefined	12.496	13.237	57.591	0.70000	1.4286	12.496	13.237	57.591	42.541	160.42	336.75	0.16812	56.455	0.076020	0.70000	1.4286	12.496	13.237	57.591	42.541	160.42	336.75	0.16812	56.455	0.076020
42.000	121.45	undefined	12.538	13.302	57.726	0.70000	1.4286	12.538	13.302	57.726	42.380	156.68	339.98	0.16519	56.493	0.075942	0.70000	1.4286	12.538	13.302	57.726	42.380	156.68	339.98	0.16519	56.493	0.075942
43.000	125.01	undefined	12.581	13.366	57.860	0.70000	1.4286	12.581	13.366	57.860	42.236	153.18	343.09	0.16235	56.531	0.075874	0.70000	1.4286	12.581	13.366	57.860	42.236	153.18	343.09	0.16235	56.531	0.075874
44.000	128.58	undefined	12.623	13.431	57.993	0.70000	1.4286	12.623	13.431	57.993	42.107	149.92	346.10	0.15959	56.569	0.075815	0.70000	1.4286	12.623	13.431	57.993	42.107	149.92	346.10	0.15959	56.569	0.075815
45.000	132.15	undefined	12.665	13.496	58.126	0.70000	1.4286	12.665	13.496	58.126	41.990	146.86	349.02	0.15692	56.608	0.075764	0.70000	1.4286	12.665	13.496	58.126	41.990	146.86	349.02	0.15692	56.608	0.075764
46.000	135.73	undefined	12.707	13.560	58.257	0.70000	1.4286	12.707	13.560	58.257	41.885	143.99	351.87	0.15432	56.646	0.075719	0.70000	1.4286	12.707	13.560	58.257	41.885	143.99	351.87	0.15432	56.646	0.075719
47.000	139.31	undefined	12.749	13.624	58.388	0.70000	1.4286	12.749	13.624	58.388	41.788	141.29	354.65	0.15179	56.685	0.075682	0.70000	1.4286	12.749	13.624	58.388	41.788	141.29	354.65	0.15179	56.685	0.075682
48.000	142.90	undefined	12.790	13.689	58.518	0.70000	1.4286	12.790	13.689	58.518	41.699	138.75	357.38	0.14932	56.724	0.075651	0.70000	1.4286	12.790	13.689	58.518	41.699	138.75	357.38	0.14932	56.724	0.075651
49.000	146.50	undefined	12.832	13.753	58.648	0.70000	1.4286	12.832	13.753	58.648	41.615	136.36	360.06	0.14692	56.763	0.075624	0.70000	1.4286	12.832	13.753	58.648	41.615	136.36	360.06	0.14692	56.763	0.075624
50.000	150.10	undefined	12.873	13.817	58.777	0.70000	1.4286	12.873	13.817	58.777	41.536	134.09	362.71	0.14459	56.802	0.075603	0.70000	1.4286	12.873	13.817	58.777	41.536	134.09	362.71	0.14459	56.802	0.075603
51.000	153.71	undefined	12.915	13.881	58.905	0.70000	1.4286	12.915	13.881	58.905	41.460	131.95	365.32	0.14231	56.841	0.075587	0.70000	1.4286	12.915	13.881	58.905	41.460	131.95	365.32	0.14231	56.841	0.075587
52.000	157.32	undefined	12.956	13.946	59.033	0.70000	1.4286	12.956	13.946	59.033	41.387	129.92	367.91	0.14009	56.881	0.075574	0.70000	1.4286	12.956	13.946	59.033	41.387	129.92	367.91	0.14009	56.881	0.075574
53.000	160.94	undefined	12.998	14.010	59.160	0.70000	1.4286	12.998	14.010	59.160	41.315	128.00	370.46	0.13793	56.920	0.075566	0.70000	1.4286	12.998	14.010	59.160	41.315	128.00	370.46	0.13793	56.920	0.075566
54.000	164.56	undefined	13.039	14.074	59.286	0.70000	1.4286	13.039	14.074	59.286	41.245	126.16	373.00	0.13582	56.960	0.075561	0.70000	1.4286	13.039	14.074	59.286	41.245	126.16	373.00	0.13582	56.960	0.075561
55.000	168.19	undefined	13.080	14.138	59.412	0.70000	1.4286	13.080	14.138	59.412	41.176	124.42	375.51	0.13376	57.000	0.075559	0.70000	1.4286	13.080	14.138	59.412	41.176	124.42	375.51	0.13376	57.000	0.075559
56.000	171.82	undefined	13.121	14.202	59.537	0.70000	1.4286	13.121	14.202	59.537	41.108	122.76	377.99	0.13175	57.040	0.075561	0.70000	1.4286	13.121	14.202	59.537	41.108	122.76	377.99	0.13175	57.040	0.075561
57.000	175.46	undefined	13.162	14.266	59.661	0.70000	1.4286	13.162	14.266	59.661	41.041	121.17	380.45	0.12980	57.080	0.075565	0.70000	1.4286	13.162	14.266	59.661	41.041	121.17	380.45	0.12980	57.080	0.075565
58.000	179.10	undefined	13.203	14.330	59.786	0.70000	1.4286	13.203	14.330	59.786	40.975	119.64	382.89	0.12788	57.120	0.075572	0.70000	1.4286	13.203	14.330	59.786	40.975	119.64	382.89	0.12788	57.120	0.075572
59.000	182.75	undefined	13.244	14.393	59.909	0.70000	1.4286	13.244	14.393	59.909	40.910	118.19	385.30	0.12602	57.160	0.075581	0.70000	1.4286	13.244	14.393	59.909	40.910	118.19	385.30	0.12602	57.160	0.075581
60.000	186.40	undefined	13.285	14.457	60.032	0.70000	1.4286	13.285	14.457	60.032	40.846	116.79	387.69	0.12420	57.201	0.075593	0.70000	1.4286	13.285	14.457	60.032	40.846	116.79	387.69	0.12420	57.201	0.075593
61.000	190.05	undefined	13.326	14.521	60.154	0.70000	1.4286	13.326	14.521	60.154	40.783	115.45	390.05	0.12241	57.241	0.075607	0.70000	1.4286	13.326	14.521	60.154	40.783	115.45	390.05	0.12241	57.241	0.075607
62.000	193.71	undefined	13.367	14.585	60.276	0.70000	1.4286	13.367	14.585	60.276	40.722	114.16	392.38	0.12067	57.282	0.075623	0.70000	1.4286	13.367	14.585	60.276	40.722	114.16	392.38	0.12067	57.282	0.075623
63.000	197.37	undefined	13.408	14.648	60.397	0.70000	1.4286	13.408	14.648	60.397	40.662	112.92	394.68	0.11896	57.323	0.075640	0.70000	1.4286	13.408	14.648	60.397	40.662	112.92	394.68	0.11896	57.323	0.075640
64.000	201.04	undefined	13.448	14.712	60.518	0.70000	1.4286	13.448	14.712	60.518	40.604	111.72	396.96	0.11729	57.364	0.075660	0.70000	1.4286	13.448	14.712	60.518	40.604	111.72	396.96	0.11729	57.364	0.075660
65.000	204.71	undefined	13.489	14.776	60.638	0.70000	1.4286	13.489	14.776	60.638	40.549	110.57	399.21	0.11566	57.405	0.075681	0.70000	1.4286	13.489	14.776	60.638	40.549	110.57	399.21	0.11566	57.405	0.075681
66.000	208.38	undefined	13.529	14.839	60.758	0.70000	1.4286	13.529	14.839	60.758	40.495	109.46	401.43	0.11405	57.446	0.075705	0.70000	1.4286	13.529	14.839	60.758	40.495	109.46	401.43	0.11405	57.446	0.075705
67.000	212.06	undefined	13.570	14.903	60.877	0.70000	1.4286	13.570	14.903	60.877	40.444	108.38	403.62	0.11248	57.487	0.075729	0.70000	1.4286	13.570	14.903	60.877	40.444	108.38	403.62	0.11248	57.487	0.075729
68.000	215.74	undefined	13.610	14.967	60.996	0.70000	1.4286	13.610	14.967	60.996	40.394	107.35	405.78	0.11094	57.528	0.075755	0.70000	1.4286	13.610	14.967	60.996	40.394	107.35	405.78	0.11094	57.528	0.075755
69.000	219.42	undefined	13.651	15.030	61.114	0.70000	1.4286	13.651	15.030	61.114	40.347	106.34	407.91	0.10942	57.570	0.075783	0.70000	1.4286	13.651	15.030	61.114	40.347	106.34	407.91	0.10942	57.570	0.075783
70.000	223.10	undefined	13.691	15.094	61.231	0.70000	1.4286	13.691	15.094	61.231	40.303	105.37	410.02	0.10794	57.611	0.075812	0.70000	1.4286	13.691	15.094	61.231	40.303	105.37	410.02	0.10794	57.611	0.075812
